feature_to_predict;weight;Mature Volume;Diameter;V1_Supplier.A;V1_Supplier.B;V1_Supplier.C;V3_Shape.1;V3_Shape.2;V3_Shape.3;V3_Shape.4;V4_Type.1;V4_Type.2;V5_Hot.Printing;V5_Lacquering;V6_ABS;V6_PP;V6_PS
28.19338193;3.78;60000;3.78;1;0;0;1;0;0;0;1;0;0;1;0;0;1
35.34189524;4.768;49000;3.994;1;0;0;0;1;0;0;0;1;0;1;0;0;1
41.9472442;4.768;55000;3.994;1;0;0;0;1;0;0;0;1;0;1;0;0;1
26.76473114;1.917;1500;1.066;1;0;0;0;1;0;0;0;1;0;1;0;0;1
13.8415182;1.261;215000;1.179;1;0;0;0;0;1;0;1;0;1;0;0;1;0
16.0258947;1.25;75000;1.079;1;0;0;0;1;0;0;1;0;1;0;0;1;0
14.02622918;1.61;10000;1.33;1;0;0;0;1;0;0;0;1;0;1;0;0;1
30.19830407;2.06;8000;1.6;1;0;0;0;1;0;0;0;1;1;0;0;0;1
28.68949765;2.06;8000;1.6;1;0;0;0;1;0;0;0;1;0;1;0;0;1
28.26982964;2.06;8000;1.6;1;0;0;0;1;0;0;0;1;0;1;0;0;1
12.25618547;1.06;800000;0.79;1;0;0;1;0;0;0;1;0;0;1;0;1;0
14.15303286;1.728;35000;1.34;1;0;0;1;0;0;0;1;0;1;0;0;1;0
13.09357258;1.728;230000;1.34;1;0;0;1;0;0;0;1;0;1;0;0;1;0
9.416742569;1.06;800000;0.79;1;0;0;1;0;0;0;1;0;0;1;0;1;0
21.82222964;1.877;11000;1.578;1;0;0;0;1;0;0;1;0;0;1;0;1;0
13.41949423;4.138;10000;3.117;1;0;0;1;0;0;0;1;0;0;1;0;0;1
18.33362657;4.04;12000;2.752;1;0;0;1;0;0;0;1;0;0;1;0;0;1
28.50662861;1.877;11000;1.578;1;0;0;0;1;0;0;1;0;0;1;0;1;0
10.72706022;1.074;90000;0.888;1;0;0;1;0;0;0;1;0;0;1;0;1;0
8.613041856;0.767;165000;0.522;1;0;0;1;0;0;0;1;0;0;1;0;1;0
8.513327948;0.767;270000;0.522;1;0;0;1;0;0;0;1;0;0;1;0;1;0
9.666676434;1.4;10000;0.99;1;0;0;1;0;0;0;1;0;0;1;0;1;0
13.03831395;2.029;60000;0.508;1;0;0;1;0;0;0;1;0;1;0;0;1;0
11.45535565;2.029;75000;0.508;1;0;0;1;0;0;0;1;0;1;0;0;1;0
15.79129779;1.838;20000;1.39;1;0;0;0;1;0;0;1;0;0;1;0;1;0
15.24447589;1.494;35000;1.176;1;0;0;1;0;0;0;1;0;0;1;0;1;0
6.598428197;0.65;60000;0.478;1;0;0;1;0;0;0;1;0;0;1;0;1;0
9.369246523;1.4;20000;0.99;1;0;0;1;0;0;0;1;0;0;1;0;1;0
24.22399015;3.22;29000;2.29;1;0;0;0;1;0;0;0;1;0;1;0;0;1
16.64346197;1.494;45000;1.176;1;0;0;1;0;0;0;1;0;0;1;0;1;0
14.71328574;0.8;11000;0.8;1;0;0;1;0;0;0;1;0;1;0;0;1;0
12.74393605;0.8;121000;0.8;0;1;0;1;0;0;0;1;0;1;0;0;1;0
19.15122275;1.704;86000;1.406;0;1;0;0;1;0;0;1;0;1;0;0;1;0
12.83905593;2.029;75000;0.508;0;1;0;1;0;0;0;1;0;1;0;0;1;0
12.83905593;2.029;60000;0.508;0;1;0;1;0;0;0;1;0;1;0;0;1;0
14.86894619;2.029;4500;0.508;0;1;0;1;0;0;0;1;0;1;0;0;1;0
11.1136492;1.06;800000;0.79;0;1;0;1;0;0;0;1;0;0;1;0;1;0
13.75250655;1.494;45000;1.176;0;1;0;1;0;0;0;1;0;0;1;0;1;0
14.99073961;1.39;35000;1.14;0;1;0;1;0;0;0;1;0;0;1;0;1;0
16.72629579;1.704;120000;1.406;0;1;0;0;1;0;0;1;0;1;0;0;1;0
15.99988765;1.704;95000;1.406;0;1;0;0;1;0;0;1;0;1;0;0;1;0
12.69750418;2.029;4500;0.508;0;1;0;1;0;0;0;1;0;1;0;0;1;0
11.70616242;2.029;60000;0.508;0;1;0;1;0;0;0;1;0;1;0;0;1;0
11.70616242;2.029;70000;0.508;0;1;0;1;0;0;0;1;0;1;0;0;1;0
13.9443569;1.494;45000;1.176;0;1;0;1;0;0;0;1;0;0;1;0;1;0
17.33279504;1.39;17500;1.14;0;1;0;1;0;0;0;1;0;0;1;0;1;0
15.65220139;1.39;17500;1.14;0;1;0;1;0;0;0;1;0;0;1;0;1;0
19.42918254;1.178;42000;0.918;0;1;0;0;0;0;1;1;0;0;1;0;1;0
9.919978342;0.696;250000;0.527;0;1;0;1;0;0;0;1;0;0;1;0;1;0
12.26922307;1.06;800000;0.79;0;1;0;1;0;0;0;1;0;0;1;0;1;0
28.1445724;3.9;10000;3.03;0;1;0;0;1;0;0;0;1;0;1;0;0;1
13.65595685;1.145;115000;0.76;0;1;0;1;0;0;0;1;0;0;1;0;1;0
9.33749522;1.145;115000;0.76;0;1;0;1;0;0;0;1;0;0;1;0;1;0
10.11060128;1.145;115000;0.76;0;1;0;1;0;0;0;1;0;0;1;0;1;0
7.024923658;0.93;12000;0.67;0;1;0;1;0;0;0;1;0;1;0;1;0;0
39.78742276;3.79136;20000;2.49169;0;1;0;1;0;0;0;1;0;1;0;1;0;0
14.17693428;1.86;35000;1.404;0;1;0;1;0;0;0;1;0;0;1;0;1;0
15.4183254;0.975;50000;0.819;0;1;0;0;1;0;0;1;0;1;0;0;1;0
21.55066844;1.33;3000;0.987;0;1;0;1;0;0;0;1;0;0;1;1;0;0
26.61804949;1.152;82000;1.104;0;1;0;0;0;0;1;1;0;0;1;0;1;0
15.48746453;1.64;235000;1.19;0;1;0;1;0;0;0;1;0;1;0;0;1;0
14.18137686;1.614;100000;0.994;0;1;0;0;0;1;0;1;0;1;0;0;1;0
14.11905566;1.614;115000;0.994;0;1;0;0;0;1;0;1;0;1;0;0;1;0
13.78138753;1.365;25000;1.121;0;1;0;0;1;0;0;1;0;1;0;0;1;0
13.52065127;1.225;140000;0.932;0;1;0;0;1;0;0;1;0;0;1;0;1;0
11.83206621;1.225;145000;0.932;0;1;0;0;1;0;0;1;0;0;1;0;1;0
12.05677034;1.225;92000;0.932;0;1;0;0;0;1;0;1;0;0;1;0;1;0
11.32003529;1.29;92000;0.964;0;1;0;0;1;0;0;1;0;0;1;0;1;0
11.59364903;1.66;20000;1.27;0;1;0;1;0;0;0;1;0;0;1;0;1;0
17.92321912;1.469;270000;1.22;0;1;0;0;0;0;1;1;0;1;0;0;1;0
13.32905353;1.279;20000;0.997;0;1;0;1;0;0;0;1;0;1;0;0;1;0
15.08291523;1.528;80000;1.066;0;1;0;1;0;0;0;1;0;0;1;0;1;0
12.31908002;1.06;200000;0.79;0;1;0;1;0;0;0;1;0;0;1;0;1;0
18.53991542;1.469;270000;1.22;0;1;0;0;0;0;1;1;0;1;0;0;1;0
19.5370545;1.469;40000;1.22;0;1;0;0;0;0;1;1;0;1;0;0;1;0
10.1814843;1.129;40000;0.898;0;1;0;1;0;0;0;1;0;1;0;0;1;0
9.563779072;1.075;300000;0.857;0;1;0;1;0;0;0;1;0;0;1;0;1;0
10.80457034;0.824;230000;0.644;0;1;0;1;0;0;0;1;0;0;1;0;1;0
16.88377708;1.225;140000;0.932;0;1;0;0;1;0;0;1;0;0;1;0;1;0
10.21733848;1.265;7000;1.034;0;1;0;1;0;0;0;1;0;0;1;0;1;0
7.856303035;1.025;415000;0.767;0;1;0;1;0;0;0;1;0;1;0;0;1;0
18.95304764;1.528;80000;1.066;0;1;0;1;0;0;0;1;0;0;1;0;1;0
11.89515695;1.06;200000;0.79;0;1;0;1;0;0;0;1;0;0;1;0;1;0
17.23055829;0.88;50000;0.67;0;1;0;1;0;0;0;1;0;0;1;0;1;0
17.28130555;0.88;50000;0.67;0;1;0;1;0;0;0;1;0;0;1;0;1;0
