feature_to_predict;T9;T12;T15;Ne9;Ne12;Ne15;Wx9;Wx12;Wx15;maxO3y;wind;wind_North;wind_South;wind_West;rain_Dry;rain_Rainy
87;15.6;18.5;18.4;4;4;8;0.6946;-1.7101;-0.6946;84;0;1;0;0;1;0
82;17;18.4;17.7;5;5;7;-4.3301;-4;-3;87;0;1;0;0;1;0
92;15.3;17.6;19.5;2;5;4;2.9544;1.8794;0.5209;82;1;0;0;0;1;0
114;16.2;19.7;22.5;1;1;0;0.9848;0.3473;-0.1736;92;0;1;0;0;1;0
94;17.4;20.5;20.4;8;8;7;-0.5;-2.9544;-4.3301;114;0;0;0;1;1;0
80;17.7;19.8;18.3;6;6;7;-5.6382;-5;-6;94;0;0;0;1;0;1
79;16.8;15.6;14.9;7;8;8;-4.3301;-1.8794;-3.7588;80;0;0;0;1;1;0
79;14.9;17.5;18.9;5;5;4;0;-1.0419;-1.3892;99;0;1;0;0;1;0
101;16.1;19.6;21.4;2;4;4;-0.766;-1.0261;-2.2981;79;0;1;0;0;1;0
106;18.3;21.9;22.9;5;6;8;1.2856;-2.2981;-3.9392;101;0;0;0;1;1;0
101;17.3;19.3;20.2;7;7;3;-1.5;-1.5;-0.8682;106;0;1;0;0;1;0
90;17.6;20.3;17.4;7;6;8;0.6946;-1.0419;-0.6946;101;0;0;1;0;1;0
72;18.3;19.6;19.4;7;5;6;-0.8682;-2.7362;-6.8944;90;0;0;1;0;1;0
70;17.1;18.2;18;7;7;7;-4.3301;-7.8785;-5.1962;72;0;0;0;1;0;1
83;15.4;17.4;16.6;8;7;7;-4.3301;-2.0521;-3;70;0;1;0;0;1;0
88;15.9;19.1;21.5;6;5;4;0.5209;-2.9544;-1.0261;83;0;0;0;1;1;0
145;21;24.6;26.9;0;1;1;-0.342;-1.5321;-0.684;121;0;0;0;1;1;0
81;16.2;22.4;23.4;8;3;1;0;0.3473;-2.5712;145;0;1;0;0;1;0
121;19.7;24.2;26.9;2;1;0;1.5321;1.7321;2;81;1;0;0;0;1;0
146;23.6;28.6;28.4;1;1;2;1;-1.9284;-1.2155;121;0;0;1;0;1;0
121;20.4;25.2;27.7;1;0;0;0;-0.5209;1.0261;146;0;1;0;0;1;0
146;27;32.7;33.7;0;0;0;2.9544;6.5778;4.3301;121;1;0;0;0;1;0
108;24;23.5;25.1;4;4;0;-2.5712;-3.8567;-4.6985;146;0;0;1;0;1;0
83;19.7;22.9;24.8;7;6;6;-2.5981;-3.9392;-4.924;108;0;0;0;1;1;0
57;20.1;22.4;22.8;7;6;7;-5.6382;-3.8302;-4.5963;83;0;0;0;1;0;1
81;19.6;25.1;27.2;3;4;4;-1.9284;-2.5712;-4.3301;57;0;0;1;0;1;0
67;19.5;23.4;23.7;5;5;4;-1.5321;-3.0642;-0.8682;81;0;0;0;1;1;0
70;18.8;22.7;24.9;5;2;1;0.684;0;1.3681;67;0;1;0;0;1;0
106;24.1;28.4;30.1;0;0;1;2.8191;3.9392;3.4641;70;1;0;0;0;1;0
139;26.6;30.1;31.9;0;1;4;1.8794;2;1.3681;106;0;0;1;0;1;0
79;19.5;18.8;17.8;8;8;8;0.6946;-0.866;-1.0261;139;0;0;0;1;1;0
93;16.8;18.2;22;8;8;6;0;0;1.2856;79;0;0;1;0;0;1
97;20.8;23.7;25;2;3;4;0;1.7101;-2.7362;93;0;1;0;0;1;0
113;17.5;18.2;22.7;8;8;5;-3.7588;-3.9392;-4.6985;97;0;0;0;1;0;1
72;18.1;21.2;23.9;7;6;4;-2.5981;-3.9392;-3.7588;113;0;0;0;1;0;1
88;19.2;22;25.2;4;7;4;-1.9696;-3.0642;-4;72;0;0;0;1;1;0
77;19.4;20.7;22.5;7;8;7;-6.5778;-5.6382;-9;88;0;0;0;1;1;0
71;19.2;21;22.4;6;4;6;-7.8785;-6.8937;-6.8937;77;0;0;0;1;1;0
56;13.8;17.3;18.5;8;8;6;1.5;-3.8302;-2.0521;71;0;0;0;1;0;1
45;14.3;14.5;15.2;8;8;8;0.684;4;2.9544;56;1;0;0;0;0;1
67;15.6;18.6;20.3;5;7;5;-3.2139;-3.7588;-4;45;0;0;0;1;0;1
67;16.9;19.1;19.5;5;5;6;-2.2981;-3.7588;0;67;0;0;0;1;0;1
84;17.4;20.4;21.4;3;4;6;0;0.3473;-2.5981;67;0;0;1;0;1;0
63;15.1;20.5;20.6;8;6;6;2;-5.3623;-6.1284;84;0;0;0;1;0;1
69;15.1;15.6;15.9;8;8;8;-4.5963;-3.8302;-4.3301;63;0;0;0;1;0;1
92;16.7;19.1;19.3;7;6;4;-2.0521;-4.4995;-2.7362;69;0;1;0;0;1;0
